flat_type,price,address,buildup_area,avg_price_sqft,age_of_property,possesion_status,which_floor,facing,furnicing,project_name,brokrage,carpet_area,bedrooms,bathrooms,balcony,parking,about_property
2 BHK Flat,5.25 Cr,"Satnam Building, Cuffe Parade, Mumbai",950 sq.ft,₹55.26 K/sq.ft,40 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,5.3 LacsAccess Zero Brokerage Properties,5.25 Cr,2,2,1,More than a month ago,No Parking,This is a 2 bhk with servant room and bathroom in Satnam  bldg located at cuffe parade. The flat has an excellent open view with wonderful natural light throughout the flat accompanied with sea breeze and ventilation. Attached bathroom in all bedroomRead More
1 BHK Flat,1.25 Cr,"Sagar Avenue ll, Vakola, Santacruz East, Mumbai",460 sq.ft,₹27.17 K/sq.ft,8 Year Old,Ready to move,Middleof 12 floors,Fully Furnished,,Sagar Avenue ll,1.3 LacsAccess Zero Brokerage Properties,460 sq.ft,1,1,No Balcony,1 Open Parking,"The apartment is completly done up just need to get your electronics. All documents are cleared. Close to highway, Metro station, railway station and BKC.

Good light and ventilation in the apartment. Have bought a another apartment so needed to sellRead More"
1 BHK Flat,18.5 L,"Ananta Vardhman Nagar, Tembhode, Palghar, Mumbai",630 sq.ft,₹2.94 K/sq.ft,5 Year Old,Ready to move,Middleof 4 floors,Unfurnished,,Ananta Vardhman Nagar,No ChargeAccess Zero Brokerage Properties,410 sq.ft,1,1,2,1 Open Parking,"Why VARDHMAN NAGAR ?
INTERNAL AMENITIES
Modular kitchen
Ro/geyser
Curtains
Led lights/fans
(90% work done )

OUTSIDE AMENITIE
Temple
Garden
Jogging Track
Lifts
 More About This Property One of the finest property in Palghar is now available for sale.Read More"
3 BHK Flat,76.0 L,"Baria Yashwant Nagar, Yashavant Nagar, Virar West, Mumbai",1450 sq.ft,₹5.24 K/sq.ft,10 Year Old,Ready to move,Middleof 7 floors,,,Baria Yashwant Nagar,"76,000Access Zero Brokerage Properties",745 sq.ft,3,3,2,1 Open Parking,"3 BHK Flat for sale in Mumbai. This property is in Virar West, which is a coveted investment location. This tastefully designed 3 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 4. The totRead More"
2 BHK Flat,1.8 Cr,"N Rose Northern Heights, Dahisar East, Mumbai",825 sq.ft,₹21.82 K/sq.ft,2 Year Old,Ready to move,Middleof 42 floors,Semi Furnished,,N Rose Northern Heights,1.8 LacsAccess Zero Brokerage Properties,656 sq.ft,2,2,No Balcony,1 Open Parking,"2 BHK Flat for sale in Dahisar East, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Dahisar East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in DahisRead More"
2 BHK Flat,1.9 Cr,"Eksar, Borivali West, Mumbai",838 sq.ft,₹22.67 K/sq.ft,7 Year Old,Ready to move,Lowerof 15 floors,Semi Furnished,,1.9 LacsAccess Zero Brokerage Properties,1.9 Cr,2,2,No Balcony,24 days ago,1 Covered Parking,"2 BHK Flat for sale in Mumbai. This property is in Borivali West, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 4. The Read More"
2 BHK Flat,1.9 Cr,"Kalpataru Crest, Sarvodaya Nagar, Bhandup West, Mumbai",1020 sq.ft,₹18.63 K/sq.ft,4 Year Old,Ready to move,Higherof 36 floors,Semi Furnished,,Kalpataru Crest,2.0 LacsAccess Zero Brokerage Properties,807 sq.ft,2,2,No Balcony,1 Covered Parking,"2 bhk apartment for sale in kalpataru crest, full open view of hills, carpet area is 807 sqft, one of the best society in bhandup west, the complex has all the amenities, for more details please contact us. More About This Property One of the finest Read More"
3 BHK Flat,4.6 Cr,"Lodha New Cuffe Parade Lodha Enchante 41st To 45th Floor, Sion East, Sion, Mumbai",1596 sq.ft,₹28.82 K/sq.ft,5 Year Old,Ready to move,Higherof 43 floors,Semi Furnished,,Lodha New Cuffe Parade Lodha Enchante 41st To 45th Floor,4.6 LacsAccess Zero Brokerage Properties,1330 sq.ft,3,2,2,1 Covered and 1 Open Parking,"Lodha NCP  where every moment is a celebration. Built around a refreshing lifestyle to liberate you from the constraints of city life. Yet in the heart of the city at New Cuffe Parade - the monumental meeting point of the monorail, metro and EasternRead More"
2 BHK Flat,3.1 Cr,"Lodha New Cuffe Parade, Sion, Mumbai",1250 sq.ft,₹24.80 K/sq.ft,2 Year Old,Ready to move,Middleof 43 floors,,,Lodha New Cuffe Parade,3.1 LacsAccess Zero Brokerage Properties,2,3,3,3 days ago,1 Covered Parking,"Looking for a 2 BHK Flat for sale in Mumbai? Your search ends here. Buy this 2 BHK property in Mumbai's finest location, Sion. It is on floor 15 out of 43 floors. This Flat is available at a reasonable price of Rs 3.1 Cr. The built up area of this prRead More"
2 BHK Flat,87.0 L,"Gaurav Crest, Kashimira, Mira Road East, Mumbai",750 sq.ft,₹11.60 K/sq.ft,1 Years Old,Ready to move,Lowerof 30 floors,Unfurnished,,Gaurav Crest,1.7 LacsAccess Zero Brokerage Properties,620 sq.ft,2,2,3,1 Covered Parking,"Property for Sale: 2BHK Flat at Gaurav Crest

Type: 2BHK (Two Bedrooms, Hall, Kitchen)
Carpet Area: 620 sq ft
Price: ₹87,00,000 (Negotiable, Package Deal)
Location: Vinay Nagar, Mira Road
Society: Gaurav Crest, New, Untouched Flat in a Cosmopolitan SRead More"
2 BHK Flat,1.5 Cr,"Jainam Elysium, Anand Nagar, Bhandup West, Mumbai",888 sq.ft,₹16.89 K/sq.ft,3 Year Old,Ready to move,Lowerof 23 floors,Semi Furnished,,Jainam Elysium,1.5 LacsAccess Zero Brokerage Properties,550 sq.ft,2,2,No Balcony,1 Covered Parking,"Its a 1.5 BHK Spacious Apartment comes with all modern amenities in the Complex This Gated Community offers amenities right from Stateoftheart gym, Swimming Pool to Kids Play Area and Many more. More About This Property 2 BHK Flat for sale in BhandupRead More"
2 BHK Flat,2.1 Cr,"Piramal Revanta, Mulund Colony, Mulund West, Mumbai",844 sq.ft,₹24.88 K/sq.ft,2 Year Old,Ready to move,Higherof 40 floors,Unfurnished,,Piramal Revanta,2.1 LacsAccess Zero Brokerage Properties,768 sq.ft,2,2,1,1 Covered Parking,This is 2 bed apartment available for sell in piramal revanta a well-planned living space which is the hallmark of thoughtfully laid out flats at reasonable prices. Piramal Revanta brings a lifestyle that befits royalty with its beautiful apartments Read More
3 BHK Flat,2.75 Cr,"Kalpataru Crest, Sarvodaya Nagar, Bhandup West, Mumbai",1230 sq.ft,₹22.36 K/sq.ft,4 Year Old,Ready to move,Middleof 30 floors,Semi Furnished,,2.8 LacsAccess Zero Brokerage Properties,2.75 Cr,3,3,No Balcony,12 days ago,2 Covered and 1 Open Parking,"Kalpataru crest , 3BHK , Carpet - 1080sqft, Modular - Kitchen , Basic Fittings  , Higher Floor , 2 car parking .
Kalpataru Crest project was created by the well-known developer Kalpataru Ltd. . Available with all facilities and amenities including PoRead More"
3 BHK Flat,6.0 Cr,"Ajmera Zeon, Bhakti Park, Wadala East, Mumbai",1660 sq.ft,₹36.14 K/sq.ft,4 Year Old,Ready to move,Lowerof 34 floors,Unfurnished,,Ajmera Zeon,6.0 LacsAccess Zero Brokerage Properties,1500 sq.ft,3,3,1,2 Covered Parking,"Smart homes, luxurious properties, strategically located, intelligent home access control Natural pond, sea facing, lush greenery Accessibility to key landmarks Famous for multiplexes, cineplex More About This Property Best 3 BHK Flat for modern-day Read More"
1 BHK Flat,99.0 L,"Abhigna Avirahi Heights, Jankalyan Nagar, Malad West, Mumbai",700 sq.ft,₹14.14 K/sq.ft,5 Year Old,Ready to move,Lowerof 10 floors,Semi Furnished,,Abhigna Avirahi Heights,"99,000Access Zero Brokerage Properties",452 sq.ft,1,2,No Balcony,1 Covered Parking,"1 Bhk on sale in AVIRAHI HEIGHTS Malad west. Ready possession with OC. Huge complex of 3 wings. For inspection please call. More About This Property A 1 BHK Flat for sale in Malad West, Mumbai. This beautifully designed 1 BHK unit with all the modernRead More"
2 BHK Flat,89.0 L,"Silent Park, Bhayandar East, Mumbai",730 sq.ft,₹12.19 K/sq.ft,10 Year Old,Ready to move,Higherof 7 floors,Semi Furnished,,1.8 Lacs(Negotiable)Access Zero Brokerage Properties,89.0 L,2,1,More than a month ago,,1 Open Parking,"Its a 2 bhk Well Maintained Flat. Good Location Good Connectivity.....   More About This Property Looking for a good 2 BHK Flat in Mira Bhayandar, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 5. Total nRead More"
2 BHK Flat,1.68 Cr,"Mulund East, Mumbai",910 sq.ft,₹18.46 K/sq.ft,30 Year Old,Ready to move,Middleof 7 floors,Semi Furnished,,1.7 LacsAccess Zero Brokerage Properties,1.68 Cr,2,2,No Balcony,14 days ago,No Parking,"2 BHK Flat for sale in Mulund East, Mumbai - contact now, for details about the most coveted property. This 2 BHK unit is available in Mulund East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Mulund Read More"
1 BHK Flat,37.5 L,"Vinay Unique Gardens, Global City, Virar West, Mumbai",650 sq.ft,₹5.77 K/sq.ft,6 Year Old,Ready to move,Middleof 14 floors,,,Vinay Unique Gardens,"75,000Access Zero Brokerage Properties",405 sq.ft,1,1,2,1 Open Parking,"1 BHK Flat for sale in Virar West, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Virar West and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in Virar WesRead More"
1 BHK Flat,67.0 L,"Aims Sea View, Kanakia Park, Mira Road East, Mumbai",694 sq.ft,₹9.65 K/sq.ft,10 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,Aims Sea View,"99,999(Negotiable)Access Zero Brokerage Properties",430 sq.ft,1,2,1,1 Open Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Mira Bhayandar. It is on floor 10 out of 22 floors. This Flat is available at a reasonable price of Rs 67.0 L. The built up area Read More"
2 BHK Flat,82.0 L,"Aristone Vasudev Paradise, Gaurav City, Mira Road East, Mumbai",950 sq.ft,₹8.63 K/sq.ft,2 BHK,"19th Mar, 2025",Middleof 16 floors,Semi Furnished,,Aristone Vasudev Paradise,No ChargeAccess Zero Brokerage Properties,600 sq.ft,2,2,3,1 Open Parking,"2Bhk Flat available for sell.
Attractive offer available.
Hurry up.
With all eminities within the project.
All necessary things nearby.
Easy Metro connectivity.
For more details please call us.
Thankyou More About This Property 2 BHK Flat for sale inRead More"
3 BHK Flat,8.5 Cr,"Petropolis, Apollo Bandar, Colaba, Mumbai",2030 sq.ft,₹41.87 K/sq.ft,20 Year Old,Ready to move,Higherof 5 floors,Semi Furnished,,8.5 LacsAccess Zero Brokerage Properties,8.5 Cr,3,2,1,More than a month ago,1 Covered and 1 Open Parking,Petropolis is one of south mumbai's most sought after destination for apartments and this large 3 bhk flat with spacious terrace in colaba is your opportunity to be a part of this community. Constructed on a carpet area of 2030 sq.Ft. This is a done-Read More
2 BHK Flat,2.6 Cr,"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",1300 sq.ft,₹20 K/sq.ft,3 Year Old,Ready to move,Lowerof 22 floors,Unfurnished,,Shapoorji Pallonji Vicinia,2.6 LacsAccess Zero Brokerage Properties,888 sq.ft,2,2,1,3 Covered Parking,"Available 2bhk for sale in shapoorji pallonji vicinia, chandivali. built up 1300 carpet 888 price 2.60cr 2 coverd parking More About This Property Property for sale in Powai, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It Read More"
3 BHK Flat,2.21 Cr,"HDIL Dheeraj Solitaire, Chincholi Bunder, Malad West, Mumbai",1100 sq.ft,₹20.09 K/sq.ft,15 Year Old,Ready to move,Higherof 20 floors,Semi Furnished,,HDIL Dheeraj Solitaire,2.2 LacsAccess Zero Brokerage Properties,850 sq.ft,3,3,1,1 Covered and 1 Open Parking,"Multi stored tower located at prime location of Malad west,near by Malls, Metro/Railway station,  350+ food joints, restaurants, cafes, hang out and entertainment zones etc More About This Property A 3 BHK Flat for sale in Malad West, Mumbai. This beRead More"
2 BHK Flat,2.15 Cr,"Metro Saraswati Paradise, P&T Staff Colony, Mulund West, Mumbai",754 sq.ft,₹28.51 K/sq.ft,2 BHK,"31st Dec, 2027",Higherof 31 floors,Unfurnished,,Metro Saraswati Paradise,No ChargeAccess Zero Brokerage Properties,754 sq.ft,2,2,1,1 Covered Parking,"Metro Saraswati Paradise ensures a coveted lifestyle and offers a convenient living. It offers facilities such as Power Backup. For families with kids, there is Children's Play Area, nearby apart from Recreation Facilities. The property is equipped wRead More"
2 BHK Flat,1.85 Cr,"Wadhwa Atmosphere Phase 1, Hira Nagar, Mulund West, Mumbai",663 sq.ft,₹27.90 K/sq.ft,4 Year Old,Ready to move,Higherof 43 floors,Semi Furnished,,Wadhwa Atmosphere Phase 1,1.9 LacsAccess Zero Brokerage Properties,663 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"2 Bhk Carpet 663 Semi Furnished Flat with all Amenities Highway School  More About This Property Property for sale in Mulund West, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 30. The total number of floors iRead More"
2 BHK Flat,2.25 Cr,"Sheth Vasant Utsav, Thakur Village, Kandivali East, Mumbai",765 sq.ft,₹29.41 K/sq.ft,18 Year Old,Ready to move,Middleof 7 floors,Fully Furnished,,Sheth Vasant Utsav,2.3 LacsAccess Zero Brokerage Properties,620 sq.ft,2,2,No Balcony,1 Open Parking,One of the finest property in Kandivali East is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 4. It is a 7 storeyed building. The price of this Flat is Rs 2.25 Cr. Other charges when you move into this property incluRead More
3 BHK Flat,4.5 Cr,"Godrej Waldorf, Milat Nagar, Andheri West, Mumbai",1440 sq.ft,₹31.25 K/sq.ft,25 Year Old,Ready to move,Lowerof 15 floors,Fully Furnished,,Godrej Waldorf,4.5 LacsAccess Zero Brokerage Properties,1200 sq.ft,3,4,1,1 Covered Parking,"Property for sale in Andheri West, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 5. The total number of floors in this building is 15. This Flat's price is Rs 4.5 Cr. Homebuyers will also need to pay Rs 9000 tRead More"
1 BHK Flat,26.0 L,"S R And Shah Surya Kirti Heights and Tower, Virar West, Mumbai",600 sq.ft,₹4.33 K/sq.ft,5 Year Old,Ready to move,Middleof 12 floors,Semi Furnished,,S R And Shah Surya Kirti Heights and Tower,"25,000Access Zero Brokerage Properties",390 sq.ft,1,2,1,No Parking,"Super cross ventilation on the middle floor from hall road view nd from bedroom society garden view, untouched flat with false ceiling trolley kitchen light fan water tanks etc. It's a best property at this rate More About This Property 1 BHK Flat foRead More"
2 BHK Flat,3.1 Cr,"Ajmera Bhakti Park, Bhakti Park, Wadala East, Mumbai",1395 sq.ft,₹22.22 K/sq.ft,3 Year Old,Ready to move,Lowerof 40 floors,Semi Furnished,,Ajmera Bhakti Park,3.1 LacsAccess Zero Brokerage Properties,994 sq.ft,2,2,1,1 Covered Parking,"Luxurious 2 BHK Flat in Ajmera Treon, Wadala East, Mumbai Harbour** Experience the epitome of spacious living with this exquisite 2 BHK flat located in Ajmera, known for its expansive living spaces in Wadala East, Mumbai Harbour. - **Property DetailsRead More"
1 BHK Flat,93.0 L,"Ecohomes Eco Winds, Kokan Nagar, Bhandup West, Mumbai",600 sq.ft,₹15.50 K/sq.ft,2 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,Ecohomes Eco Winds,"93,000Access Zero Brokerage Properties",400 sq.ft,1,1,No Balcony,1 Covered and 1 Open Parking,"1BHK Building Name Eco Winds Ready possession With all amenities - Gym, Swimming pool, Garden, Children Play Area, Club House, Etc  More About This Property Property for sale in Bhandup West, Mumbai. This 1 BHK Flat is located in Mumbai's most promisRead More"
2 BHK Flat,1.4 Cr,"ASHAR BIRCH, P&T Staff Colony, Mulund West, Mumbai",708 sq.ft,₹19.77 K/sq.ft,1 Years Old,Ready to move,Higherof 31 floors,Semi Furnished,,No ChargeAccess Zero Brokerage Properties,1.4 Cr,2,No Balcony,21 days ago,,1 Covered Parking,"Looking for a good 2 BHK Flat in Mulund West, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 27. Total number of floors is 31. Maintenance charges of this property is Rs 5500. This Flat is available for RRead More"
4 BHK Flat,15.0 Cr,"Rustomjee Crown Phase 1, Kamgar Nagar, Prabhadevi, Mumbai",2200 sq.ft,₹68.18 K/sq.ft,3 Year Old,Ready to move,Middleof 65 floors,Semi Furnished,,Rustomjee Crown Phase 1,15.0 LacsAccess Zero Brokerage Properties,2079 sq.ft,4,4,No Balcony,3 Covered Parking,"Rustomjee Crown is a premium residential project located in Prabhadevi, South Mumbai. It is a luxurious project with high-rise towers, expansive green spaces, and a wide range of amenities. More About This Property Best 4 BHK Flat for modern-day lifeRead More"
1 BHK Flat,53.5 L,"JP North Aviva, Kashimira, Mira Road East, Mumbai",432 sq.ft,₹12.38 K/sq.ft,1 Years Old,Ready to move,Lowerof 35 floors,,,JP North Aviva,1.1 Lacs(Negotiable)Access Zero Brokerage Properties,360 sq.ft,1,2,2,No Parking,"Looking for a 1 BHK Flat for sale in Mumbai? Your search ends here. Buy this 1 BHK property in Mumbai's finest location, Mira Bhayandar. It is on floor 8 out of 35 floors. This Flat is available at a reasonable price of Rs 53.5 L. The built up area oRead More"
1 BHK Flat,34.0 L,"JSB Nakshatra Aarambh, Naigaon East, Mumbai",565 sq.ft,₹6.02 K/sq.ft,2 Year Old,Ready to move,Middleof 14 floors,,,JSB Nakshatra Aarambh,"68,000Access Zero Brokerage Properties",1,1,2,More than a month ago,1 Open Parking,"1 BHK Flat for sale in Naigaon East, Mumbai - contact now, for details about the most coveted property. This 1 BHK unit is available in Naigaon East and offers a premium lifestyle at the best price. It is a desired purchase for any homebuyer in NaigaRead More"
2 BHK Flat,2.45 Cr,"Nahar Lilium Lantana, Sainath Nagar, Powai, Mumbai",1285 sq.ft,₹19.07 K/sq.ft,5 Year Old,Ready to move,Higherof 22 floors,Semi Furnished,,Nahar Lilium Lantana,No ChargeAccess Zero Brokerage Properties,850 sq.ft,2,2,3,1 Covered Parking,"Nahar lilium, Chandivali, Raheja Vihar, Central Mumbai suburbs, Mumbai
A 2 bhk flat for rent in raheja vihar close to all basic civic amenities is available for just 60,000 in k raheja paradise apartment, central mumbai suburbs. Property has 1285 sq.Read More"
3 BHK Flat,2.4 Cr,"ACME Oasis, Lokhandwala Township, Kandivali East, Mumbai",1330 sq.ft,₹18.05 K/sq.ft,5 Year Old,Ready to move,Higherof 30 floors,Unfurnished,,ACME Oasis,2.4 LacsAccess Zero Brokerage Properties,970 sq.ft,3,3,No Balcony,1 Covered Parking,"3bhk unfurnished flat for sale with parking ready to move More About This Property Looking for a 3 BHK Flat for sale in Mumbai? Your search ends here. Buy this 3 BHK property in Mumbai's finest location, Kandivali East. It is on floor 26 out of 30 flRead More"
2 BHK Flat,1.57 Cr,"Arkade Earth, Kanjurmarg East, Mumbai",564 sq.ft,₹27.84 K/sq.ft,7 Year Old,Ready to move,Middleof 22 floors,Semi Furnished,,Arkade Earth,1.6 LacsAccess Zero Brokerage Properties,500 sq.ft,2,2,No Balcony,1 Covered and 1 Open Parking,"2 BHK Flat for sale in Mumbai. This property is in Kanjurmarg East, which is a coveted investment location. This tastefully designed 2 BHK unit is among Mumbai's best properties. Contact now for more details. This property in Mumbai is on floor 8. ThRead More"
2 BHK Flat,1.95 Cr,"Nirmal City Of Joy, Dharamveer Nagar, Mumbai",999 sq.ft,₹19.52 K/sq.ft,12 Year Old,Ready to move,Lowerof 30 floors,Semi Furnished,,Nirmal City Of Joy,1.9 LacsAccess Zero Brokerage Properties,726 sq.ft,2,2,No Balcony,1 Covered Parking,"A very good 2 bhk flat for sale in Nirmal Citi Of Joy, Central Mumbai suburbs. It is a superb property and offers an excellent view. The flat has kitchen with multiple amenities and promises a comfortable stay. Indeed, the society too has multiple faRead More"
2 BHK Flat,1.85 Cr,"Narayan Sitaram Residency, Daulat Nagar, Borivali East, Mumbai",644 sq.ft,₹28.73 K/sq.ft,Ready to move,East facing,East facingFacing,,,Narayan Sitaram Residency,No ChargeAccess Zero Brokerage Properties,644 sq.ft,2,2,No Balcony,1 Covered Parking,"A Ready To Move with OC Property.
All Inclusive Package Rate with 1 Car Park.
Maximum Home Loan Possible From All Leading Banks.
Maha RERA Registered  Project.

Features:
Designer Entrance Lobby
Premium Quality Flooring
Superior Quality Kitchen PlatfRead More"
3 BHK Flat,3.65 Cr,"Shapoorji Pallonji Vicinia, Chandivali, Powai, Mumbai",1350 sq.ft,₹27.04 K/sq.ft,1 Years Old,Ready to move,Lowerof 21 floors,Semi Furnished,,Shapoorji Pallonji Vicinia,3.6 LacsAccess Zero Brokerage Properties,1068 sq.ft,3,3,1,2 Covered Parking,"Property for sale in Powai, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 7. The total number of floors in this building is 21. This Flat's price is Rs 3.65 Cr. Homebuyers will also need to pay Rs 10000 towardRead More"
1 BHK Flat,1.25 Cr,"Amardeep Anutham, Sane Guruji Nagar, Mulund East, Mumbai",650 sq.ft,₹19.23 K/sq.ft,1 Years Old,Ready to move,Higherof 23 floors,Semi Furnished,,Amardeep Anutham,1.3 LacsAccess Zero Brokerage Properties,430 sq.ft,1,2,No Balcony,1 Covered Parking,"Looking for a good 1 BHK Flat in Mulund East, Mumbai? This property is in one of Mumbai's most popular locations. The property is on floor 17. Total number of floors is 23. This Flat is available for Rs 1.25 Cr. This modern unit has a built-up area oRead More"
2 BHK Flat,32.0 L,"Tata New Value Homes New Haven Boisar II, Betegaon, Boisar, Mumbai",930 sq.ft,₹3.44 K/sq.ft,8 Year Old,Ready to move,Middleof 3 floors,,,Tata New Value Homes New Haven Boisar II,"64,000Access Zero Brokerage Properties",762 sq.ft,2,1,2,1 Open Parking,"Check out this 2 BHK Flat for sale in Boisar, Mumbai. This 2 BHK Flat is perfect for a modern-day lifestyle. Boisar is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. It is located on fRead More"
1 BHK Flat,1.6 Cr,"Sindhi Society, Chembur, Mumbai",445 sq.ft,₹35.95 K/sq.ft,4 Year Old,Ready to move,Higherof 13 floors,Semi Furnished,,1.6 LacsAccess Zero Brokerage Properties,1.6 Cr,1,2,No Balcony,More than a month ago,1 Covered Parking,"Best 1 BHK Flat for modern-day lifestyle is now available for sale. Grab this 1 BHK property for sale in one of Mumbai's top location, Chembur. It is situated on floor 9. The total number of floors in this Flat is 13. The property price of this unit Read More"
1 BHK Flat,2.0 Cr,"Chhatrapati Shivaji International Airport Area, Vile Parle East, Mumbai",673 sq.ft,₹29.72 K/sq.ft,15 Year Old,Ready to move,Lowerof 6 floors,,,2.0 LacsAccess Zero Brokerage Properties,2.0 Cr,1,1,No Balcony,More than a month ago,No Parking,"Check out this 1 BHK Flat for sale in Vile Parle East, Mumbai. This 1 BHK Flat is perfect for a modern-day lifestyle. Vile Parle East is a promising location in Mumbai and this is one of the finest properties in the area. Buy this Flat for sale now. Read More"
2 BHK Flat,1.55 Cr,"Aditya Audumbar Chhaya, Maryland Complex, Borivali West, Mumbai",750 sq.ft,₹20.67 K/sq.ft,5 Year Old,Ready to move,Higherof 9 floors,Unfurnished,,Aditya Audumbar Chhaya,No ChargeAccess Zero Brokerage Properties,570 sq.ft,2,1,No Balcony,No Parking,"Property for sale in Borivali West, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 7. The total number of floors in this building is 9. This Flat's price is Rs 1.55 Cr. This Flat is a spacious unit, with carpetRead More"
2 BHK Flat,3.05 Cr,"Nahar Yvonne, Sainath Nagar, Powai, Mumbai",1440 sq.ft,₹21.18 K/sq.ft,7 Year Old,Ready to move,Higherof 14 floors,Semi Furnished,,Nahar Yvonne,3.0 LacsAccess Zero Brokerage Properties,850 sq.ft,2,2,3,1 Covered Parking,One of the finest property in Powai is now available for sale. This is a 2 BHK Flat. Make it yours now. It is on floor 13. It is a 14 storeyed building. The price of this Flat is Rs 3.05 Cr. This Flat is spacious with a built-up area of 1440 square_fRead More
3 BHK Flat,3.95 Cr,"Imperial Heights CHS, Tilak Nagar, Goregaon West, Mumbai",1470 sq.ft,₹26.87 K/sq.ft,3 Year Old,Ready to move,Lowerof 44 floors,,,4.0 LacsAccess Zero Brokerage Properties,3.95 Cr,3,3,2,17 days ago,1 Covered Parking,"A 3 BHK Flat for sale in Goregaon West, Mumbai. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Goregaon West's most desired properties. Contact now for more information. This 3 BHK unit is on floor 10. There are 44 flRead More"
2 BHK Flat,2.66 Cr,"Shapoorji Pallonji Vicinia, Sainath Nagar, Powai, Mumbai",1000 sq.ft,₹26.60 K/sq.ft,5 Year Old,Ready to move,Higherof 22 floors,Unfurnished,,Shapoorji Pallonji Vicinia,2.7 LacsAccess Zero Brokerage Properties,888 sq.ft,2,2,1,1 Covered Parking,"Shapoorji pallonji vicinia is one of central mumbai suburbs's most sought after destination for residential flats and with this flat You will also get all modern property feature like piped-Gas, power back-Up and reserved parking. This place is equipRead More"
2 BHK Flat,2.4 Cr,"ELEGANT NAVRATNAMALA, Kalina, Santacruz East, Mumbai",1000 sq.ft,₹24 K/sq.ft,1 Years Old,Ready to move,Middleof 7 floors,Unfurnished,,2.4 LacsAccess Zero Brokerage Properties,2.4 Cr,2,2,No Balcony,19 days ago,1 Covered Parking,"Best 2 BHK Flat for modern-day lifestyle is now available for sale. Grab this 2 BHK property for sale in one of Mumbai's top location, Santacruz East. It is situated on floor 4. The total number of floors in this Flat is 7. The property price of thisRead More"
3 BHK Flat,3.85 Cr,"Indira Nagar, Chembur, Mumbai",1600 sq.ft,₹24.06 K/sq.ft,10 Year Old,Ready to move,Lowerof 7 floors,Fully Furnished,,3.5 LacsAccess Zero Brokerage Properties,3.85 Cr,3,3,No Balcony,More than a month ago,1 Covered and 1 Open Parking,"Fully Furnished Flat with Marble Flooring and Designer False Ceiling Modular Kitchen.  More About This Property Property for sale in Chembur, Mumbai. This 3 BHK Flat is located in Mumbai's most promising location. It is on floor 0. The total number oRead More"
2 BHK Flat,1.6 Cr,"Srishti Samarth, Sarvodaya Nagar, Bhandup West, Mumbai",850 sq.ft,₹18.82 K/sq.ft,4 Year Old,Ready to move,Middleof 20 floors,Fully Furnished,,Srishti Samarth,1.6 LacsAccess Zero Brokerage Properties,620 sq.ft,2,2,No Balcony,1 Covered Parking,"Property for sale in Bhandup West, Mumbai. This 2 BHK Flat is located in Mumbai's most promising location. It is on floor 13. The total number of floors in this building is 20. This Flat's price is Rs 1.6 Cr. This Flat is a spacious unit, with carpetRead More"
3 BHK Flat,4.95 Cr,"Heritage hiranandani gardens pow, IIT Area, Powai, Mumbai",1285 sq.ft,₹38.52 K/sq.ft,10 Year Old,Ready to move,Higherof 36 floors,Semi Furnished,,5.0 LacsAccess Zero Brokerage Properties,4.95 Cr,3,3,No Balcony,4 days ago,1 Covered and 1 Open Parking,"Hiranandani premium tower good for investment also investors  More About This Property A 3 BHK Flat for sale in Powai, Mumbai. This beautifully designed 3 BHK unit with all the modern-day comforts is one of Powai's most desired properties. Contact noRead More"
3 BHK Flat,4.4 Cr,"K Raheja Vistas, Hiranandani Gardens, Powai, Mumbai",1550 sq.ft,₹28.39 K/sq.ft,5 Year Old,Ready to move,Middleof 20 floors,Semi Furnished,,K Raheja Vistas,4.4 LacsAccess Zero Brokerage Properties,1200 sq.ft,3,2,3,3 Covered Parking,"Situated in raheja vihar, central mumbai, k raheja maple leaf chs is a well planned society that offers a pleasant living experience to its residents. This 3 bhk flat in central mumbai is your opportunity to be a part of this community. This residentRead More"
