flat_type,price,address,buildup_area,age_of_property,which_floor,furnishing,bedrooms,bathrooms,balcony,parking
1 BHK Flat,0.95,Bhandup West,600,11.0,22.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,0.3,Nalasopara West,660,1.0,12.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,1.25,Borivali West,500,5.0,7.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,1.16,Borivali West,560,5.0,14.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,1.05,Chembur,590,5.0,13.0,Unfurnished,1.0,1.0,0.0,no
1 BHK Flat,1.05,Dahisar East,650,18.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.7,Wadala,625,3.0,25.0,Fully Furnished,2.0,1.0,,yes
1 BHK Flat,1.18,Malad West,650,16.0,20.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,1.15,Kandivali East,650,25.0,9.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.65,Powai,536,5.0,26.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.1,Bhandup West,600,10.0,21.0,Semi Furnished,1.0,,0.0,no
1 BHK Flat,1.45,Andheri West,525,35.0,6.0,Unfurnished,1.0,,0.0,yes
1 BHK Flat,2.6,Bandra West,625,15.0,7.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,0.45,Mira Road East,396,1.0,15.0,Unfurnished,1.0,2.0,,yes
1 BHK Flat,1.7,Sion,616,5.0,43.0,Semi Furnished,1.0,1.0,1.0,yes
1 BHK Flat,1.75,Vile Parle East,580,15.0,4.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,0.95,Dahisar West,550,18.0,7.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.98,Malad West,650,10.0,23.0,Unfurnished,1.0,2.0,0.0,no
1 BHK Flat,0.27,Virar West,660,6.0,7.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,3.5,Bandra West,850,10.0,15.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,0.3,Naigaon East,610,4.0,14.0,Unfurnished,1.0,2.0,,yes
1 BHK Flat,1.6,Powai,560,1.0,25.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.09,Dahisar West,507,22.0,7.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.98,Malad West,650,1.0,23.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.93,Mira Road East,751,1.0,30.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.1,Chembur,415,5.0,19.0,Semi Furnished,1.0,2.0,2.0,no
1 BHK Flat,1.15,Kandivali West,525,10.0,20.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,2.5,Colaba,600,20.0,6.0,Fully Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.25,Powai,650,10.0,18.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,1.7,Mazgaon,520,5.0,23.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.14,Malad West,580,6.0,7.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.25,Nalasopara East,530,7.0,7.0,Semi Furnished,1.0,1.0,3.0,yes
1 BHK Flat,1.33,Andheri East,750,7.0,22.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,1.65,Lower Parel,500,3.0,14.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.83,Kandivali West,450,15.0,7.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.2,Borivali West,600,20.0,12.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,3.5,Malabar Hill,720,40.0,8.0,Fully Furnished,2.0,1.0,,yes
1 BHK Flat,1.15,Kandivali West,650,10.0,22.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.53,Kandivali West,435,8.0,24.0,Unfurnished,1.0,2.0,0.0,no
1 BHK Flat,1.4,Goregaon East,600,8.0,19.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.9,Andheri West,400,30.0,4.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,0.32,Virar West,650,6.0,7.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.32,Mahalakshmi,525,10.0,12.0,Semi Furnished,1.0,,0.0,no
1 BHK Flat,0.67,Santacruz East,350,1.0,14.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,0.52,Dahisar East,670,5.0,19.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.25,Borivali West,485,10.0,13.0,Unfurnished,1.0,2.0,1.0,no
1 BHK Flat,1.11,Chembur,750,20.0,4.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.55,Bhayandar East,700,1.0,10.0,Semi Furnished,2.0,1.0,,yes
1 BHK Flat,0.72,Mira Road East,620,10.0,8.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,1.5,Dadar West,450,18.0,5.0,Semi Furnished,1.0,1.0,,no
1 BHK Flat,1.1,Andheri East,650,11.0,7.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,0.5,Goregaon East,545,10.0,20.0,Unfurnished,1.0,1.0,1.0,yes
1 BHK Flat,1.15,Malad East,419,5.0,23.0,Fully Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.52,Malad West,426,10.0,24.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.8,Vikhroli East,560,5.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.85,Jogeshwari West,635,13.0,21.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,1.4,Borivali West,685,5.0,21.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,0.53,Kandivali West,410,10.0,24.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,0.58,Lower Parel,400,1.0,23.0,Semi Furnished,1.0,,0.0,no
1 BHK Flat,0.88,Chembur,400,10.0,15.0,Unfurnished,1.0,1.0,,no
1 BHK Flat,0.66,Bhayandar East,800,5.0,16.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.29,Virar West,660,5.0,16.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.5,Andheri East,560,10.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.53,Kandivali West,410,15.0,24.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,1.15,Borivali East,500,5.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.81,Mira Road East,740,10.0,16.0,Fully Furnished,1.0,1.0,,yes
1 BHK Flat,0.72,Mira Road East,500,2.0,25.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,2.25,Matunga East,765,5.0,17.0,Unfurnished,2.0,1.0,,yes
1 BHK Flat,1.56,Powai,550,5.0,23.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.96,Bhandup West,510,10.0,18.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,1.4,Wadala East,585,10.0,14.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.96,Powai,600,15.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.9,Kandivali East,525,15.0,7.0,Unfurnished,1.0,1.0,0.0,no
1 BHK Flat,1.12,Mulund West,610,5.0,23.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.31,Virar West,635,7.0,14.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.45,Santacruz East,600,10.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.73,Mira Road East,710,5.0,12.0,Fully Furnished,1.0,2.0,3.0,yes
1 BHK Flat,2.5,Prabhadevi,570,20.0,18.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.3,Kandivali East,635,20.0,18.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,0.66,Mira Road East,552,7.0,7.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,1.35,Santacruz East,576,20.0,4.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,1.0,Malad West,590,5.0,10.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.1,Chembur,525,2.0,7.0,Unfurnished,1.0,,0.0,no
1 BHK Flat,1.65,Chembur,620,5.0,16.0,Unfurnished,2.0,1.0,,yes
1 BHK Flat,1.15,Mulund West,650,5.0,21.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.95,Bhandup West,600,5.0,16.0,Fully Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.15,Chembur,520,5.0,15.0,Unfurnished,1.0,,0.0,no
1 BHK Flat,0.9,Dahisar East,500,7.0,17.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,2.25,Prabhadevi,535,20.0,7.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.96,Malad West,640,6.0,15.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,2.04,Andheri West,520,30.0,7.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.45,Mira Road East,397,1.0,15.0,Unfurnished,1.0,2.0,,yes
1 BHK Flat,1.64,Sion,616,5.0,43.0,Semi Furnished,1.0,1.0,1.0,yes
1 BHK Flat,2.0,Vile Parle East,673,15.0,6.0,Semi Furnished,1.0,,0.0,no
1 BHK Flat,2.5,Prabhadevi,660,20.0,19.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,1.15,Borivali West,570,20.0,8.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.34,Naigaon East,565,2.0,14.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,1.6,Powai,880,1.0,24.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.8,Sion,677,5.0,43.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.8,Dahisar East,452,25.0,4.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.17,Wadala East,400,5.0,22.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,1.0,Borivali West,500,20.0,7.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,1.8,Vile Parle East,753,5.0,7.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.58,Goregaon East,540,15.0,20.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.72,Mira Road East,650,9.0,16.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,0.18,Palghar,630,5.0,4.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,0.3,Nalasopara West,590,5.0,12.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,0.96,Bhandup West,515,12.0,18.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.23,Wadala,550,14.0,14.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.05,Powai,630,15.0,7.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.94,Kanjurmarg East,550,10.0,10.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.37,Virar West,650,1.0,22.0,Unfurnished,1.0,1.0,2.0,no
1 BHK Flat,1.7,Sion,585,5.0,44.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,0.66,Mira Road East,645,5.0,7.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,1.15,Kandivali West,600,5.0,21.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,1.05,Chembur,550,7.0,12.0,Unfurnished,2.0,,0.0,no
1 BHK Flat,0.87,Chembur,440,7.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.77,Dahisar East,524,10.0,19.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.58,Sion,500,5.0,43.0,Semi Furnished,1.0,1.0,1.0,yes
1 BHK Flat,0.34,Naigaon East,565,5.0,14.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,1.65,Sion,594,5.0,43.0,Semi Furnished,1.0,1.0,1.0,yes
1 BHK Flat,0.42,Virar West,650,5.0,9.0,Unfurnished,1.0,1.0,2.0,no
1 BHK Flat,1.12,Chembur,523,5.0,14.0,Semi Furnished,2.0,,0.0,no
1 BHK Flat,1.2,Chembur,550,6.0,11.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,2.1,Santacruz West,450,20.0,5.0,Semi Furnished,,,,yes
1 BHK Flat,1.12,Goregaon East,550,6.0,22.0,Semi Furnished,1.0,2.0,3.0,yes
1 BHK Flat,0.3,Virar West,650,10.0,7.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,1.35,Jogeshwari West,568,5.0,23.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.09,Mulund East,500,14.0,7.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.12,Powai,580,15.0,7.0,Unfurnished,1.0,,0.0,yes
1 BHK Flat,1.02,Bhandup West,725,10.0,20.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.75,Mira Road East,700,3.0,19.0,Unfurnished,2.0,3.0,,no
1 BHK Flat,1.05,Kandivali East,525,26.0,7.0,Semi Furnished,1.0,1.0,0.0,no
1 BHK Flat,1.1,Goregaon East,390,5.0,25.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,4.8,Malabar Hill,850,10.0,15.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,0.65,Mira Road East,540,1.0,20.0,Semi Furnished,2.0,2.0,,no
1 BHK Flat,1.31,Goregaon East,600,14.0,8.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.34,Naigaon East,547,5.0,22.0,Unfurnished,1.0,1.0,2.0,yes
1 BHK Flat,1.35,Kandivali West,600,15.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.3,Nalasopara West,530,25.0,2.0,Semi Furnished,1.0,2.0,,yes
1 BHK Flat,0.36,Virar West,500,12.0,12.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.15,Jogeshwari West,550,5.0,20.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.82,Andheri West,652,10.0,7.0,Fully Furnished,1.0,1.0,1.0,yes
1 BHK Flat,1.15,Ghatkopar West,500,40.0,3.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.15,Andheri West,600,30.0,4.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,1.08,Goregaon East,550,5.0,22.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,1.4,Andheri West,800,25.0,6.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.6,Powai,560,2.0,22.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.34,Jogeshwari West,640,20.0,7.0,Unfurnished,1.0,2.0,1.0,yes
1 BHK Flat,3.25,Bandra West,600,15.0,16.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.22,Kandivali East,785,18.0,8.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,1.2,Chembur,700,19.0,3.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,1.35,Andheri West,560,30.0,6.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,0.7,Kandivali East,400,9.0,7.0,Unfurnished,1.0,1.0,,yes
1 BHK Flat,0.56,Kandivali West,500,8.0,24.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.85,Kanjurmarg East,455,10.0,15.0,Fully Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.2,Nalasopara East,560,2.0,7.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.56,Goregaon East,545,10.0,12.0,Fully Furnished,1.0,1.0,1.0,yes
1 BHK Flat,0.44,Goregaon East,545,8.0,20.0,Unfurnished,1.0,1.0,1.0,yes
1 BHK Flat,0.33,Naigaon East,547,1.0,22.0,Semi Furnished,1.0,3.0,,yes
1 BHK Flat,1.1,Borivali West,525,20.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.5,Goregaon East,480,10.0,20.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.23,Powai,580,5.0,11.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,2.4,Dadar West,600,15.0,7.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.15,Borivali West,585,12.0,13.0,Unfurnished,2.0,2.0,,yes
1 BHK Flat,2.0,Vikhroli East,610,3.0,16.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,1.35,Andheri East,395,2.0,13.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.25,Malad East,500,6.0,15.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.1,Mulund East,420,20.0,7.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.05,Bhandup West,620,10.0,20.0,Fully Furnished,1.0,1.0,1.0,yes
1 BHK Flat,0.7,Mira Road East,700,7.0,15.0,Unfurnished,1.0,2.0,3.0,no
1 BHK Flat,1.45,Chembur,800,6.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.83,Mira Road East,607,5.0,16.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,0.92,Borivali West,608,5.0,7.0,Unfurnished,1.0,,0.0,yes
1 BHK Flat,1.4,Goregaon West,600,5.0,22.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,0.88,Malad West,450,5.0,7.0,Unfurnished,1.0,1.0,0.0,yes
1 BHK Flat,1.1,Borivali West,498,12.0,7.0,Unfurnished,1.0,1.0,0.0,no
1 BHK Flat,1.12,Borivali West,610,25.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.48,Goregaon East,545,10.0,20.0,Unfurnished,1.0,1.0,1.0,yes
1 BHK Flat,0.75,Mira Road East,700,4.0,19.0,Unfurnished,2.0,3.0,,no
1 BHK Flat,0.68,Dahisar East,585,10.0,16.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,0.6,Goregaon East,545,10.0,7.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.33,Naigaon East,560,5.0,14.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,1.05,Borivali East,520,2.0,11.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,1.07,Bhandup West,650,14.0,21.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,1.8,Chembur,800,15.0,3.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.9,Mulund East,450,22.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.92,Andheri East,550,30.0,4.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,1.2,Borivali West,660,10.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.58,Mira Road East,645,9.0,7.0,Unfurnished,1.0,2.0,3.0,yes
1 BHK Flat,0.65,Mira Road East,575,15.0,7.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,1.1,Chembur,580,10.0,9.0,Fully Furnished,2.0,,0.0,no
1 BHK Flat,0.5,Vasai West,696,1.0,7.0,Semi Furnished,2.0,2.0,,no
1 BHK Flat,0.34,Virar West,450,8.0,15.0,Semi Furnished,2.0,2.0,,no
1 BHK Flat,0.32,Virar West,630,3.0,15.0,Semi Furnished,1.0,2.0,3.0,no
1 BHK Flat,0.85,Malad West,425,20.0,5.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.15,Chembur,460,7.0,7.0,Unfurnished,2.0,,0.0,no
1 BHK Flat,0.34,Naigaon East,610,9.0,7.0,Unfurnished,1.0,2.0,,yes
1 BHK Flat,1.4,Goregaon East,578,8.0,19.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.4,Chembur,591,10.0,7.0,Fully Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.2,Govandi,576,10.0,13.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.9,Vikhroli East,650,12.0,5.0,Unfurnished,1.0,,0.0,yes
1 BHK Flat,1.2,Andheri East,680,15.0,11.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,2.15,Bandra West,500,30.0,5.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,0.45,Virar West,750,5.0,14.0,Semi Furnished,2.0,1.0,,yes
1 BHK Flat,1.05,Goregaon West,680,8.0,20.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,0.95,Borivali East,610,15.0,13.0,Fully Furnished,1.0,2.0,1.0,no
1 BHK Flat,0.46,Vasai West,555,25.0,3.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,0.34,Naigaon East,590,6.0,14.0,Unfurnished,2.0,2.0,,yes
1 BHK Flat,1.05,Kandivali East,610,12.0,8.0,Semi Furnished,1.0,2.0,2.0,no
1 BHK Flat,0.29,Virar West,650,10.0,7.0,Semi Furnished,1.0,2.0,1.0,no
1 BHK Flat,4.0,Bandra West,850,15.0,3.0,Unfurnished,1.0,1.0,1.0,yes
1 BHK Flat,1.42,Santacruz East,625,5.0,16.0,Semi Furnished,1.0,,,yes
1 BHK Flat,1.3,Bandra East,600,7.0,11.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.75,Prabhadevi,600,10.0,18.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,0.4,Naigaon East,525,1.0,14.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.5,Virar West,600,8.0,7.0,Unfurnished,1.0,2.0,1.0,yes
1 BHK Flat,0.51,Mira Road East,550,6.0,21.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.25,Andheri West,450,20.0,20.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,0.29,Virar East,580,1.0,5.0,Semi Furnished,1.0,,,yes
1 BHK Flat,0.54,Nalasopara West,735,18.0,5.0,Fully Furnished,2.0,4.0,,yes
1 BHK Flat,0.46,Vasai West,525,20.0,3.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.65,Vile Parle West,650,10.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.6,Mazgaon,650,5.0,9.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.55,Goregaon East,610,14.0,8.0,Fully Furnished,1.0,1.0,,yes
1 BHK Flat,1.6,Parel,510,5.0,7.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.49,Mira Road East,560,15.0,7.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.51,Mira Road East,790,12.0,7.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.65,Prabhadevi,575,7.0,23.0,Unfurnished,1.0,,0.0,yes
1 BHK Flat,1.3,Andheri East,530,5.0,12.0,Fully Furnished,2.0,,0.0,yes
1 BHK Flat,0.08,Palghar,540,10.0,4.0,Fully Furnished,1.0,1.0,,yes
1 BHK Flat,0.31,Virar West,450,10.0,7.0,Fully Furnished,1.0,,,yes
1 BHK Flat,0.55,Mira Road East,625,15.0,9.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.65,others,500,7.0,7.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,0.73,Dahisar East,710,7.0,19.0,Unfurnished,1.0,1.0,2.0,yes
1 BHK Flat,0.74,Kanjurmarg East,650,5.0,11.0,Semi Furnished,2.0,1.0,,yes
1 BHK Flat,0.57,Kandivali East,490,12.0,7.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,2.1,Parel,660,15.0,7.0,Semi Furnished,1.0,2.0,2.0,yes
1 BHK Flat,1.1,Borivali East,600,15.0,8.0,Fully Furnished,1.0,2.0,0.0,no
1 BHK Flat,0.57,Mira Road East,700,5.0,20.0,Unfurnished,1.0,2.0,2.0,no
1 BHK Flat,0.97,Malad West,550,5.0,23.0,Unfurnished,1.0,2.0,1.0,no
1 BHK Flat,0.35,Malad West,560,5.0,10.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.15,Bandra East,465,15.0,11.0,Semi Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.28,Naigaon East,550,3.0,4.0,Unfurnished,1.0,3.0,,yes
1 BHK Flat,0.48,Mira Road East,550,8.0,18.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.26,Naigaon East,610,9.0,4.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,1.47,Sion,580,20.0,3.0,Semi Furnished,1.0,,0.0,yes
1 BHK Flat,1.3,Kandivali West,550,1.0,8.0,Unfurnished,2.0,1.0,,yes
1 BHK Flat,1.25,Andheri West,450,15.0,14.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.05,Andheri East,600,1.0,13.0,Unfurnished,1.0,2.0,0.0,yes
1 BHK Flat,0.91,Chembur,410,10.0,12.0,Fully Furnished,1.0,,0.0,yes
1 BHK Flat,2.0,Matunga East,650,1.0,35.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,2.65,Matunga West,650,40.0,3.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.9,Malad East,635,8.0,8.0,Unfurnished,2.0,,0.0,yes
1 BHK Flat,1.45,Mahalakshmi,400,15.0,9.0,Semi Furnished,1.0,1.0,,no
1 BHK Flat,1.8,Sion,630,6.0,43.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.65,Mira Road East,690,5.0,22.0,Unfurnished,1.0,2.0,2.0,yes
1 BHK Flat,2.1,Byculla,825,5.0,16.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,1.15,Malad West,675,8.0,23.0,Fully Furnished,1.0,2.0,1.0,yes
1 BHK Flat,0.93,Ghatkopar East,650,12.0,8.0,Unfurnished,2.0,,0.0,no
1 BHK Flat,1.35,Wadala East,585,10.0,14.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.24,Naigaon East,550,8.0,7.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,1.05,Chembur,405,5.0,13.0,Unfurnished,2.0,,0.0,no
1 BHK Flat,1.15,Kandivali West,600,5.0,20.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.0,Kandivali East,550,20.0,6.0,Semi Furnished,1.0,2.0,0.0,no
1 BHK Flat,1.3,Chembur,730,12.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,0.95,Powai,590,20.0,7.0,Semi Furnished,1.0,1.0,0.0,yes
1 BHK Flat,1.65,Sion,610,6.0,41.0,Semi Furnished,1.0,1.0,2.0,yes
1 BHK Flat,0.91,Bhayandar West,700,9.0,16.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,1.05,Kandivali East,550,20.0,7.0,Semi Furnished,1.0,2.0,0.0,yes
1 BHK Flat,1.0,Wadala East,490,15.0,7.0,Unfurnished,1.0,1.0,0.0,no
1 BHK Flat,0.67,Mira Road East,580,12.0,7.0,Semi Furnished,1.0,1.0,,yes
1 BHK Flat,1.16,Malad East,707,6.0,19.0,Semi Furnished,2.0,2.0,,yes
1 BHK Flat,0.61,Mira Road East,494,8.0,7.0,Semi Furnished,2.0,,0.0,yes
1 BHK Flat,0.92,Dahisar East,675,5.0,16.0,Semi Furnished,1.0,,,yes
1 BHK Flat,0.57,Byculla,300,10.0,22.0,Unfurnished,1.0,2.0,0.0,yes
